LookupType_ID	LookupType_Title_Fa	Lookup_ID	Lookup_Title_Fa	LookupCode
200	نوع درخواست	1331	خدمات (مشاوره)	
200	نوع درخواست	1332	خدمات (درخواست اعزام کارشناس)	
200	نوع درخواست	1557	اورهال	
200	نوع درخواست	1558	کالیبراسیون	
200	نوع درخواست	1559	نگهداشت	
200	نوع درخواست	1560	سرویس دوره ای	
200	نوع درخواست	1777	استاندارد سازی	
200	نوع درخواست	2702	راه اندازی	
200	نوع درخواست	2761	عقد قرارداد سرویس دوره ای	
200	نوع درخواست	2762	تعمیرات	
200	نوع درخواست	2763	سابر	
201	وضعیت درخواست	1381	در حال بررسی	
201	وضعیت درخواست	1382	تامین قطعه	
201	وضعیت درخواست	1383	ارسال کارشناس	
201	وضعیت درخواست	1384	حسابداری	
201	وضعیت درخواست	1385	انجام شد	
201	وضعیت درخواست	1386	رد درخواست	
213	وضعیت فعلی نظرسنجی	1452	تکمیل شده است	
213	وضعیت فعلی نظرسنجی	1453	نیاز به پیگیری دارد	
213	وضعیت فعلی نظرسنجی	1454	در انتظار بازخورد از واحد درون سازمانی	
213	وضعیت فعلی نظرسنجی	1455	در انتظار بازخورد از مشتری	
221	شرح کار	1547	اورهال کامل	
221	شرح کار	1548	اورهال ایرند	
221	شرح کار	1549	اورهال موتور	
221	شرح کار	1550	تعمیر برد	
221	شرح کار	1551	تعمیر رادیاتور	
221	شرح کار	1922	تعمیر	
246	وضعیت سفارش به پیمانکار	1864	ثبت اولیه	
246	وضعیت سفارش به پیمانکار	1865	ویرایش شده	
246	وضعیت سفارش به پیمانکار	1866	تایید سرپرست/مدیر	
246	وضعیت سفارش به پیمانکار	1867	تایید QC	
246	وضعیت سفارش به پیمانکار	1868	بسته شده	
292	نمایندگی های فروش مناقصه	2213	آرتان هوا صنعت سایا	
292	نمایندگی های فروش مناقصه	2214	پایا صنعت هوا سپهر	
292	نمایندگی های فروش مناقصه	2215	هواکار صنعت آندیا	
292	نمایندگی های فروش مناقصه	2216	یارا صنعت هوای فشرده	
292	نمایندگی های فروش مناقصه	2217	امداد کمپرسور	
292	نمایندگی های فروش مناقصه	2218	آذر دقیق درخشان طب آیدین	
292	نمایندگی های فروش مناقصه	2219	اطلس کمپرسور ایرانیان	
292	نمایندگی های فروش مناقصه	2220	آروین صنعت هوا گستر	
292	نمایندگی های فروش مناقصه	2221	آروند صنعت بیستون	
292	نمایندگی های فروش مناقصه	2222	پدیده سیال اسپادانا
(بازرگانی صنعت و معدن)	
292	نمایندگی های فروش مناقصه	2223	دهقانی زاده	
292	نمایندگی های فروش مناقصه	2224	بهین تجهیز امین	
292	نمایندگی های فروش مناقصه	2225	بدون نماینده(مستقیم)	
292	نمایندگی های فروش مناقصه	2745	صبادم امین	
303	وضعیت مناقصات خدمات پس از فروش	892	در انتظار پاسخ فنی متره	
303	وضعیت مناقصات خدمات پس از فروش	895	پیشنهاد مالی ارسال شد	
303	وضعیت مناقصات خدمات پس از فروش	898	در انتظار جلسه	
303	وضعیت مناقصات خدمات پس از فروش	899	هولد شده است	
303	وضعیت مناقصات خدمات پس از فروش	900	نامشخص	
303	وضعیت مناقصات خدمات پس از فروش	904	برنده مناقصه	
303	وضعیت مناقصات خدمات پس از فروش	905	بازنده مناقصه	
303	وضعیت مناقصات خدمات پس از فروش	2308	در انتظار دریافت اسناد	
303	وضعیت مناقصات خدمات پس از فروش	2309	در انتظار پاسخ فنی متره	
303	وضعیت مناقصات خدمات پس از فروش	2310	پیشنهاد فنی ارسال شده است	
303	وضعیت مناقصات خدمات پس از فروش	2311	در انتظار بازدید	
303	وضعیت مناقصات خدمات پس از فروش	2312	پیشنهاد مالی ارسال شد	
303	وضعیت مناقصات خدمات پس از فروش	2313	پیشنهاد فنی و مالی ارسال شد	
303	وضعیت مناقصات خدمات پس از فروش	2314	در انتظار پاسخ مناقصه	
303	وضعیت مناقصات خدمات پس از فروش	2315	در انتظار جلسه	
303	وضعیت مناقصات خدمات پس از فروش	2316	هولد شده است	
303	وضعیت مناقصات خدمات پس از فروش	2317	نامشخص	
303	وضعیت مناقصات خدمات پس از فروش	2318	ارسال اسناد ارزیابی کیفی	
303	وضعیت مناقصات خدمات پس از فروش	2319	تایید ارزیابی کیفی	
303	وضعیت مناقصات خدمات پس از فروش	2320	تایید پیشنهاد فنی	
303	وضعیت مناقصات خدمات پس از فروش	2321	برنده مناقصه	
303	وضعیت مناقصات خدمات پس از فروش	2322	بازنده مناقصه	
303	وضعیت مناقصات خدمات پس از فروش	2324	در حال پیگیری	
303	وضعیت مناقصات خدمات پس از فروش	2565	تجدید مناقصه	
305	نوع ضمانت نامه	2328	بانکی	
305	نوع ضمانت نامه	2329	چک	
306	وضعیت ضمانت نامه	2330	ابطال	
306	وضعیت ضمانت نامه	2331	تمدید	
333	موضوع اصلی شکایت	2551	رد شدن در ارزیابی کیفی	
333	موضوع اصلی شکایت	2552	عدم تأیید پیشنهاد فنی	
333	موضوع اصلی شکایت	2553	عدم تأیید پیشنهاد مالی	
333	موضوع اصلی شکایت	2554	تاخیر بازرگانی	
333	موضوع اصلی شکایت	2555	تاخیر تدارکات	
333	موضوع اصلی شکایت	2556	تاخیر مالی	
333	موضوع اصلی شکایت	2557	تاخیر خدمات	
333	موضوع اصلی شکایت	2558	داشتن الزام ساخت داخل	
333	موضوع اصلی شکایت	2559	ابطال مناقصه	
333	موضوع اصلی شکایت	2560	قیمت قطعه	
333	موضوع اصلی شکایت	2561	کیفیت خدمات	
333	موضوع اصلی شکایت	2562	کیفیت فروش	
333	موضوع اصلی شکایت	2563	کیفیت قطعه	
333	موضوع اصلی شکایت	2564	کیفیت محصول	
340	نحوه آشنایی با سازمان	2714	نمایشگاه	
340	نحوه آشنایی با سازمان	2715	همایش-آموزش	
340	نحوه آشنایی با سازمان	2716	معرفی دیگران	
340	نحوه آشنایی با سازمان	2717	مشتری قدیمی	
340	نحوه آشنایی با سازمان	2718	وب سایت	
340	نحوه آشنایی با سازمان	2719	سرچ اینترنتی	
340	نحوه آشنایی با سازمان	2720	تماس تلفنی کارشناس فروش	
340	نحوه آشنایی با سازمان	2721	شبکه های اجتماعی	
340	نحوه آشنایی با سازمان	2722	سایر	
341	دلیل خرید از هوایار	2723	قیمت	
