Id	Title	Code	ProductTypeId
128	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(رفت)	Y021422C	
129	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(برگشت)	Y021432C	
130	تعویض شلنگ های پنوماتیک 	Y021442C	
131	شستشوی رادیاتور	Y021452C	
132	شستشوی کمپرسور	Y021462C	
133	تعویض فوم ها و غبارگیر	Y021472C	
134	تعویض قفل کابینت(هرعدد)	Y021482C	
135	تعویض کابل قدرت 	Y021492C	
136	تعویض بلبرینگ های الکتروموتور	Y021502C	
137	تعویض بلبرینگ های الکتروموتور فن	Y021512C	
138	تعویض پروانه فن	Y021522C	
139	تعویض توری غبارگیر	Y021532C	
140	تعویض sight glass	Y021542C	
141	شستشوی مخزن سپراتور	Y021552C	
142	تعویض شلنگ تخلیه روغن	Y021562C	
143	تعویض شیر تخلیه روغن مخزن سپراتور	Y021572C	
144	تعویض لرزه گیر	Y021582C	
145	تنظیم پولی ها	Y021592C	
146	TEST RUN	Y021602C	
147	تعویض گیج مخزن سپراتور	Y021612C	
148	زنگ زدایی، لکه گیری و نقاشی	Y021622C	
149	تعویض چک ولو زیر ایراند	Y021632C	
150	تعویض واشر آببندی آنلودر	Y021642C	
151	تعویض واشر آببندی چک ولو زیر ایراند	Y021652C	
152	تعویض کابینت تابلو برق 	Y021662C	
153	تعویض درب تابلو برق  	Y021672C	
154	تعویض صفحه بالائی تابلو برق 	Y021682C	
155	تعویض صفحه پایینی تابلو برق 	Y021692C	
156	تعویض درب کابینت هر کدام	Y021702C	
157	تعویض پنل کابینت هر کدام	Y021712C	
158	تعویض ساپورت زیر  Electro Motor  هوایاری	Y021722C	
159	تعویض رابط ساپورت راست Electro Motor	Y021732C	
160	تعویض رابط ساپورت چپ Electro Motor 	Y021742C	
161	تعویض ساپورت نگهدارنده سقف کمپرسور	Y021752C	
162	تعویض پایه فن 	Y021762C	
163	تعویض پایه خرک 	Y021772C	
164	تعویض صفحه نگهدارنده قاب فن	Y021782C	
165	تعویض صفحه روی خرک 	Y021792C	
166	تعویض قاب رادیاتور 	Y021802C	
167	تعویض قاب تسمه 	Y021812C	
168	تعویض قاب کناری   Electro Motor	Y021822C	
169	تعویض قاب کناری تابلو برق 	Y021832C	
170	تعویض قاب ورودی هوا 	Y021842C	
171	تعویض قاب صداگیر 	Y021852C	
172	تعویض نگهدارنده مخزن 	Y021862C	
173	دمونتاژ ایراند	Y031012C	
174	مونتاژ ایراند	Y031022C	
175	دمونتاژ آنلودر	Y031032C	
176	مونتاژ آنلودر	Y031042C	
177	تعویض فیلتر هوا	Y031052C	
178	تعویض فیلتر روغن	Y031062C	
179	تعویض فیلتر سپراتور 	Y031072C	
180	تعویض روغن	Y031082C	
181	تعویض کیت اویل استاپ ولو	Y031092C	
182	تعویض ترموستاتیک ولو	Y031102C	
183	تعویض کیت مینیمم پرشرولو	Y031112C	
184	تعویض کیت آنلودر	Y031122C	
185	تعویض تسمه ها	Y031132C	
186	دمونتاژ الکتروموتور	Y031142C	
187	مونتاژ الکتروموتور	Y031152C	
188	تعویض پولی ایراند	Y031162C	
189	تعویض پولی الکتروموتور	Y031172C	
190	دمونتاژ مینیمم پرشرولو	Y031182C	
191	مونتاژ مینیمم پرشرولو	Y031192C	
192	تعویض سوپاپ اطمینان	Y031202C	
193	مونتاژ رادیاتور	Y031212C	
194	دمونتاژ رادیاتور	Y031222C	
195	مونتاژ شاسی متحرک	Y031232C	
196	دمونتاژ شاسی متحرک	Y031242C	
197	مونتاژ/تعویض فن خنک کننده	Y031252C	
198	دمونتاژ فن خنک کننده	Y031262C	
199	تعویض کنتاکتور	Y031272C	
200	تعویض بی متال	Y031282C	
201	تعویض کنترل فاز	Y031292C	
202	تعویض کلید حرارتی	Y031302C	
203	تعویض کلید ON-Off	Y031312C	
204	تعویض emergency stop	Y031322C	
205	تعویض برد کنترلی	Y031332C	
206	تعویض سنسور دما	Y031342C	
207	نعویض سنسور فشار	Y031352C	
208	تعویض شیر یکطرفه ساکشن	Y031362C	
209	تنظیم لوله ساکشن	Y031372C	
210	تعویض شلنگ هوا-روغن	Y031382C	
211	تعویض شلنگ از مینیمم به رادیاتور	Y031392C	
212	تعویض شلنگ از مخزن سپراتور به پایه فیلتر	Y031402C	
213	تعویض شلنگ از پایه فیلتر به ایراند	Y031412C	
214	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(رفت)	Y031422C	
215	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(برگشت)	Y031432C	
216	تعویض شلنگ های پنوماتیک 	Y031442C	
217	شستشوی رادیاتور	Y031452C	
218	شستشوی کمپرسور	Y031462C	
219	تعویض فوم ها و غبارگیر	Y031472C	
220	تعویض قفل کابینت(هرعدد)	Y031482C	
221	تعویض کابل قدرت 	Y031492C	
222	تعویض بلبرینگ های الکتروموتور	Y031502C	
223	تعویض بلبرینگ های الکتروموتور فن	Y031512C	
224	تعویض پروانه فن	Y031522C	
225	تعویض توری غبارگیر	Y031532C	
226	تعویض sight glass	Y031542C	
227	شستشوی مخزن سپراتور	Y031552C	
228	تعویض شلنگ تخلیه روغن	Y031562C	
229	تعویض شیر تخلیه روغن مخزن سپراتور	Y031572C	
230	تعویض لرزه گیر	Y031582C	
231	تنظیم پولی ها	Y031592C	
232	TEST RUN	Y031602C	
233	تعویض گیج مخزن سپراتور	Y031612C	
234	زنگ زدایی، لکه گیری و نقاشی	Y031622C	
235	تعویض چک ولو زیر ایراند	Y031632C	
236	تعویض واشر آببندی آنلودر	Y031642C	
237	تعویض واشر آببندی چک ولو زیر ایراند	Y031652C	
238	تعویض کابینت تابلو برق 	Y031662C	
239	تعویض درب تابلو برق  	Y031672C	
240	تعویض صفحه بالائی تابلو برق 	Y031682C	
241	تعویض صفحه پایینی تابلو برق 	Y031692C	
242	تعویض درب کابینت هر کدام	Y031702C	
243	تعویض پنل کابینت هر کدام	Y031712C	
244	تعویض ساپورت زیر  Electro Motor  هوایاری	Y031722C	
245	تعویض رابط ساپورت راست Electro Motor	Y031732C	
246	تعویض رابط ساپورت چپ Electro Motor 	Y031742C	
247	تعویض ساپورت نگهدارنده سقف کمپرسور	Y031752C	
248	تعویض پایه فن 	Y031762C	
249	تعویض پایه خرک 	Y031772C	
250	تعویض صفحه نگهدارنده قاب فن	Y031782C	
251	تعویض صفحه روی خرک 	Y031792C	
252	تعویض قاب رادیاتور 	Y031802C	
253	تعویض قاب تسمه 	Y031812C	
